codeCirconscription,inscrits,votesExprimes,abstentions,tauxAbstention,listeEnTete,ecartPremierDeuxieme
01004,99889,53391,44873,44.92,RN,26.19
01005,78135,40106,36725,47,RN,21.52
01003,85985,41944,42982,49.99,RN,5.59
01002,102088,56962,43869,42.97,RN,18.39
01001,83122,45120,36508,43.92,RN,21.16
02004,79145,37440,40652,51.36,RN,38.94
02001,72787,36983,34582,47.51,RN,38.29
02005,82853,41447,40045,48.33,RN,36.07
02003,66183,32547,32299,48.8,RN,48.76
02002,73361,35625,36640,49.94,RN,37.5
03003,80332,43135,35189,43.8,RN,20.74
03001,88900,46632,39582,44.52,RN,17.78
03002,80196,42003,35824,44.67,RN,18.45
04001,61966,34878,26052,42.04,RN,18.38
04002,67206,37459,28675,42.67,RN,10.42
05002,54802,31357,22462,40.99,RN,2.36
05001,60257,33571,25666,42.59,RN,9.43
06002,91173,49244,40757,44.7,RN,28.43
06007,100465,55042,44420,44.21,RN,19.31
06005,103979,53935,48824,46.96,RN,22.53
06009,82863,42556,39463,47.62,RN,26.56
06004,87017,44568,41123,47.26,RN,38.81
06006,80446,45014,34547,42.94,RN,35.55
06008,81837,41888,39144,47.83,RN,34.43
06003,87542,43959,42732,48.81,RN,18.69
06001,74429,37146,36629,49.21,RN,15.48
07001,79972,44077,34366,42.97,RN,14.06
07003,81900,46768,33652,41.09,RN,7.08
07002,97365,54811,40717,41.82,RN,16.35
08001,70122,35580,33287,47.47,RN,33.82
08003,54945,27481,26282,47.83,RN,36.65
08002,61803,28048,32850,53.15,RN,30.09
09001,57981,32748,24001,41.39,GAUCHE,0.85
09002,62513,34238,26814,42.89,RN,8.63
10001,66163,35153,29870,45.15,RN,38.69
10002,73430,39442,32901,44.81,RN,31.67
10003,64341,31861,31664,49.21,RN,25.85
11001,91982,51020,39154,42.57,RN,22.32
11003,99379,56158,41072,41.33,RN,15.65
11002,93613,49554,42430,45.32,RN,24.4
12003,72680,41689,29178,40.15,RN,7.13
12002,68542,38402,28429,41.48,RN,4.25
12001,78554,44400,32256,41.06,RN,6.81
13011,90172,47803,41568,46.1,RN,10.31
13014,103707,56604,45933,44.29,RN,5.56
13010,110843,62302,47173,42.56,RN,27.78
13015,111151,61473,48125,43.3,RN,29.75
13016,98721,50804,46426,47.03,RN,21.14
13009,101571,53164,47228,46.5,RN,24.19
13008,104084,53264,49466,47.53,RN,24.88
13012,95395,47992,46399,48.64,RN,34.05
13013,88239,42948,43922,49.78,RN,21.02
13001,76570,37074,38964,50.89,GAUCHE,1.93
13002,76570,37074,38964,50.89,GAUCHE,1.93
13003,76570,37074,38964,50.89,GAUCHE,1.93
13004,76570,37074,38964,50.89,GAUCHE,1.93
13005,76570,37074,38964,50.89,GAUCHE,1.93
13006,76570,37074,38964,50.89,GAUCHE,1.93
13007,76570,37074,38964,50.89,GAUCHE,1.93
14004,105044,56999,46511,44.28,RN,16.81
14005,93265,51489,40237,43.14,RN,8.56
14003,80314,41316,37537,46.74,RN,22.46
14006,96333,50829,43508,45.16,RN,13.03
14002,81946,43852,37044,45.2,GAUCHE,13.44
14001,60036,33848,25477,42.44,GAUCHE,13.97
